1563844,3907,4027,1461,3956,
1563845,3885,4025,1499,4000,
1563851,3906,4029,1801,3984,
1563852,3900,4028,2008,3985,
1563853,3908,4029,2128,4010,
1563863,3903,4029,1464,3959,
1563864,3890,4026,1824,3979,
1563865,3891,4025,2005,3985,
1563866,3904,4029,1979,3985,
1563868,3900,4027,2102,3988,
1563869,3901,4028,2171,3988,
1563870,3903,4028,1485,3986,
1563883,3902,4026,1814,3982,
1563884,3898,4028,2012,3986,
1563885,3901,4029,2122,4012,
1563891,3910,4029,1499,3962,
1563892,3891,4024,1843,3964,
1563893,3886,4024,2007,3977,
1563899,3911,4031,1494,3972,
1563900,3900,4027,1855,3983,
1563901,3897,4028,2038,3988,
1563902,3914,4030,1506,3964,
1563908,3894,4026,1833,3974,
1563909,3891,4026,2004,4012,
1563915,3912,4030,1486,3967,
1563916,3896,4027,1748,3985,
1563918,3902,4033,1535,3977,
1563924,3907,4029,1566,3964,
1563925,3890,4024,1878,3971,
1563931,3906,4030,1477,3963,
1563932,3894,4027,1844,3982,
1563933,3896,4027,2025,3985,
1563939,3917,4031,1509,3966,
1563940,3900,4026,1863,3976,
1563941,3896,4025,2028,3982,
1563942,3900,4029,1479,3962,
1563947,3891,4026,1820,3978,
1563949,3892,4025,2008,3987,
1563950,3897,4027,1520,4007,
1563956,3907,4027,1782,3978,
1563957,3897,4027,1914,3986,
1563961,3903,4029,1539,3959,
1563962,3881,4032,1504,3972,
1563970,3918,4033,1511,3973,
1563972,3903,4028,1862,3981,
1563973,3899,4026,2037,3983,
1563974,3894,4030,1486,3971,
1563979,3886,4025,1800,3965,
1563980,3886,4024,1985,3978,
1563981,3890,4024,2091,3981,
1563987,3919,4033,1525,3974,
1563988,3903,4028,1881,3981,
1563989,3900,4028,2056,3985,
1563990,3894,4029,1478,3960,
1563996,3890,4025,1805,3972,
1563997,3886,4024,1987,3978,
1563998,3915,4033,1539,4015,
1564004,3915,4032,1643,3980,
1564005,3903,4030,1871,3983,
1564010,3905,4030,1477,3957,
1564012,3886,4024,1813,3965,
1564013,3883,4023,1983,3979,
1564014,3882,4032,1513,3985,
1564020,3907,4030,1851,3987,
1564021,3903,4028,2033,3987,
1564022,3898,4029,1487,3960,
1564027,3892,4025,1814,3966,
1564029,3880,4023,1984,3977,
1564030,3883,4025,1509,3982,
1564035,3906,4029,1847,3982,
1564036,3903,4027,1966,3992,
1564038,3904,4030,1493,3965,
1564043,3891,4025,1811,3965,
1564044,3890,4024,1985,3975,
1564045,3879,4023,1516,4009,
1564051,3908,4029,1748,3981,
1564052,3900,4027,1950,3981,
1564053,3901,4033,2019,4008,
1564055,3910,4032,1996,3987,
1564056,3903,4030,2106,3975,
1564057,3892,4027,2142,3984,
1564058,3894,4027,2055,3980,
1564059,3894,4025,2090,3973,
1564060,3894,4028,2132,3990,
1564062,3883,4030,1760,3984,
1564071,3906,4028,1972,3981,
1564073,3900,4030,2049,3983,
1564074,3903,4028,1950,3977,
1564075,3900,4029,2035,3975,
1564076,3886,4027,2095,3976,
1564078,3891,4028,1946,3968,
1564079,3888,4026,1975,3981,
1564080,3886,4027,2081,3994,
1564082,3900,4029,2042,4008,
1564092,3903,4029,1609,3968,
1564093,3895,4027,1863,3973,
1564094,3885,4027,1945,3976,
1564095,3886,4024,2050,3983,
1564096,3884,4026,2106,3982,
1564097,3905,4028,2008,3985,
1564099,3900,4029,2066,3982,
1564100,3903,4027,2099,3987,
1564101,3900,4029,2159,3996,
1564102,3909,4028,1462,3993,
1564111,3894,4027,1697,4005,
1564113,3893,4030,1763,4007,
1564115,3902,4029,1814,3979,
1564116,3899,4027,2008,3984,
1564117,3894,4028,2113,3993,
1564118,3910,4028,2093,3985,
1564119,3904,4030,2145,3989,
1564120,3905,4030,2199,3993,
1564122,3907,4027,1722,3986,
1564131,3893,4025,1934,3979,
1564132,3895,4026,2053,3985,
1564133,3897,4027,2026,3985,
1564135,3904,4029,2106,3985,
1564136,3906,4032,2154,4004,
1564137,3908,4029,2162,4008,
1564139,3910,4028,2115,3984,
1564140,3907,4028,2145,3992,
1564141,3893,4027,2136,3981,
1564142,3900,4031,1716,3982,
1564151,3905,4031,1787,3979,
1564153,3902,4031,1977,3983,
1564154,3911,4029,2050,3987,
1564155,3902,4028,2138,3989,
1564157,3911,4029,2145,3981,
1564158,3891,4027,2114,3984,
1564159,3895,4024,2144,3978,
1564160,3894,4025,2174,3991,
1564161,3886,4023,2138,3979,
1564171,3916,4034,1670,3968,
1564172,3903,4023,1936,3983,
1564173,3898,4027,2054,3983,
1564174,3897,4030,2048,3990,
1564175,3897,4025,2094,3977,
1564176,3891,4020,2087,3980,
1564178,3887,4027,1963,3973,
1564179,3887,4027,2028,3974,
1564180,3888,4027,2089,3983,
1564181,3893,4027,2140,4013,
1564191,3905,4027,1589,3963,
1564192,3890,4030,1755,3996,
1564194,3890,4028,1832,4002,
1564195,3890,4027,1874,3969,
1564196,3892,4022,2000,3980,
1564197,3885,4027,1986,3984,
1564199,3896,4029,2065,3985,
1564200,3900,4031,2142,3995,
1564201,3904,4027,2176,4011,
1564211,3904,4026,1467,3971,
1564213,3894,4028,1773,4005,
1564215,3901,4029,1859,3977,
1564216,3906,4023,2031,3987,
1564217,3896,4026,2124,3997,
1564218,3900,4029,2058,3998,
1564220,3909,4031,2115,3993,
1564221,3909,4031,2162,3985,
1564222,3899,4029,1470,4008,
1564231,3898,4027,1687,3970,
1564232,3894,4027,1942,3980,
1564233,3897,4029,2081,3989,
1564234,3902,4031,1943,3986,
1564236,3900,4032,1978,3986,
1564237,3905,4029,2110,4009,
1564239,3903,4029,2080,3991,
1564240,3906,4029,2127,3983,
1564241,3901,4029,1473,3961,
1564249,3888,4030,1521,3981,
1564253,3912,4026,1662,4013,
1564257,3906,4029,1591,4008,
1564263,3895,4023,1568,3974,
1564266,3911,4032,1562,3973,
1564270,3918,4034,1515,3983,
1564273,3903,4028,1658,4009,
1564280,3907,4029,1485,4012,
1564284,3918,4033,1517,3972,
1564287,3915,4038,1537,3974,
1564290,3900,4028,1486,3954,
1564298,3905,4030,1534,3971,
1564299,3901,4027,1846,3977,
1564303,3925,4029,1537,4011,
1564310,3907,4030,1468,3965,
1564313,3889,4030,1592,4014,
1564317,3911,4032,1613,4012,
1564319,3911,4037,1787,3973,
1564328,3891,4027,1937,3973,
1564329,3881,4026,2015,4004,
1564331,3891,4025,1977,3975,
1564332,3896,4028,2082,3987,
1564333,3896,4031,2164,3986,
1564334,3900,4031,2056,3988,
1564336,3908,4030,2077,3984,
1564337,3906,4029,2160,3986,
1564338,3908,4030,2132,3990,
1564339,3910,4028,1700,3975,
1564349,3905,4029,1924,3987,
1564350,3903,4030,1959,3985,
1564351,3902,4030,2089,3983,
1564353,3904,4029,2159,3989,
1564354,3907,4027,2197,3990,
1564355,3901,4030,2191,3989,
1564356,3904,4030,2113,3991,
1564357,3897,4027,2143,4007,
1564359,3895,4025,2063,3981,
1564368,3914,4032,1658,4010,
1564370,3908,4031,1813,3982,
1564371,3909,4029,1987,3985,
1564372,3898,4028,2106,3983,
1564373,3899,4030,2172,3993,
1564375,3897,4029,2140,3982,
1564376,3894,4025,2141,3982,
1564377,3887,4024,2161,3982,
1564378,3887,4027,2017,3983,
1564379,3888,4024,2098,4016,
1564388,3915,4032,1661,3977,
1564390,3895,4027,1862,3978,
1564391,3896,4028,1989,3970,
1564392,3896,4026,2090,3982,
1564393,3891,4029,2147,3974,
1564394,3887,4025,2092,3971,
1564395,3882,4024,2106,3973,
1564396,3885,4023,2144,3985,
1564397,3892,4027,2123,3988,
1564399,3895,4027,2163,4012,
1564407,3913,4031,1492,4011,
1564410,3902,4027,1521,3959,
1564412,3877,4024,1823,3970,
1564413,3883,4025,1987,3976,
1564414,3886,4026,2041,3983,
1564415,3890,4026,2122,3986,
1564416,3898,4036,1494,3975,
1564424,3892,4027,1536,3971,
1564427,3892,4033,1540,4015,
1564433,3911,4029,1514,3990,
1564440,3903,4023,1684,3981,
1564442,3894,4030,1564,3968,
1564445,3894,4027,1535,3967,
1564450,3909,4032,1557,4016,
1564456,3917,4034,1572,3969,
1564460,3901,4028,1491,4010,
1564463,3898,4027,1556,3963,
1564466,3907,4032,1571,4012,
1564471,3918,4030,1504,3965,
1564474,3908,4030,1537,3964,
1564477,3899,4028,1553,3954,
1564480,3892,4033,1796,3979,
1564488,3915,4031,1570,3971,
1564490,3909,4028,1518,3991,
1564494,3894,4027,1533,4001,
1564502,3914,4033,1508,4015,
1564505,3912,4030,1614,3975,
1564508,3908,4031,1564,3955,
1564516,3917,4026,1527,3980,
1564517,3898,4035,1666,4016,
1564521,3917,4028,1519,3968,
1564525,3908,4031,1523,3963,
1564533,3903,4033,1507,4006,
1564536,3909,4032,1549,3968,
1564539,3907,4032,1548,4006,
1564547,3903,4033,1496,3971,
1564550,3905,4036,1565,3968,
1564553,3920,4033,1634,3973,
1564556,3901,4028,1710,3976,
1564564,3893,4027,1922,3977,
1564567,3908,4033,1660,3974,
1564570,3920,4031,1524,3982,
1564573,3903,4031,1701,3972,
1564580,3909,4031,1485,4013,
1564583,3912,4032,1521,3972,
1564588,3915,4033,1587,3979,
1564594,3906,4034,1575,3956,
1564597,3904,4029,1559,4015,
1564601,3907,4031,1561,4014,
1564605,3912,4036,1538,4005,
1564610,3902,4031,1485,3966,
1564613,3883,4031,1630,4013,
1564618,3914,4032,1552,3977,
1564619,3900,4029,1549,3966,
1564625,3901,4026,1483,3972,
1564630,3884,4031,1549,3977,
1564633,3894,4031,1636,3982,
1564636,3900,4028,1501,3985,
1564644,3902,4032,1532,3965,
1564647,3897,4030,1551,3953,
1564650,3911,4031,1580,3979,
1564656,3904,4031,1544,3963,
1564660,3894,4030,1501,3993,
1564664,3897,4032,1770,4010,
1564672,3908,4027,1704,3975,
1564673,3893,4030,1598,3971,
1564676,3892,4031,1501,3981,
1564680,3894,4024,1780,3968,
1564681,3889,4025,1835,3994,
1564683,3898,4036,1803,3978,
1564692,3897,4030,1963,3980,
1564693,3882,4023,2041,4005,
1564695,3897,4028,1905,3969,
1564696,3886,4026,2023,3975,
1564697,3892,4020,1902,3984,
1564699,3896,4029,1988,3986,
1564700,3896,4030,2103,3985,
1564701,3898,4027,2177,4008,
1564702,3905,4031,2094,4010,
1564714,3896,4027,1571,3972,
1564715,3893,4027,1876,3977,
1564717,3897,4029,2021,3979,
1564718,3904,4031,2049,3985,
1564719,3906,4030,2131,3985,
1564720,3908,4031,2196,3988,
1564721,3906,4029,2221,3985,
1564722,3908,4030,2147,3986,
1564723,3899,4033,2193,3980,
1564724,3894,4024,2216,4017,
1564733,3900,4025,1673,3973,
1564734,3908,4032,1627,3980,
1564737,3906,4030,1907,3986,
1564739,3905,4032,1831,3975,
1564740,3895,4030,2021,3983,
1564741,3895,4025,2094,3982,
1564742,3893,4027,2089,3981,
1564743,3891,4027,2117,3982,
1564753,3902,4028,1701,3983,
1564754,3906,4031,1820,3986,
1564755,3905,4033,1833,3974,
1564757,3892,4027,1994,3979,
1564758,3888,4026,2008,3977,
1564759,3885,4023,2071,3971,
1564761,3882,4023,2131,3984,
1564762,3885,4025,2072,3978,
1564763,3883,4026,2109,3973,
1564771,3921,4034,1509,3967,
1564772,3904,4030,1572,3999,
1564775,3900,4027,1788,3973,
1564776,3890,4020,1985,3967,
1564777,3884,4025,2064,3985,
1564779,3894,4027,1801,3983,
1564781,3892,4027,1989,3977,
