1,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
2288,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
4316,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
6475,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
8424,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
10383,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
12487,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
14429,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
16388,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
18491,131071,65535,262143,196607,i2,i2,i2,-1,-1,-1
