9001,3840,4011,1594,4094,7170,-5824,-2431
9015,3842,4012,1601,4094,1216,4224,-1280
9030,3850,4011,1600,4094,-2432,3713,2624
9044,3848,4011,1598,4094,3456,-2367,1088
9058,3841,4010,1598,4094,-8000,5313,4672
9072,3847,4013,1598,4094,8000,5505,-640
9087,3849,4010,1600,4094,-1535,6721,5761
9100,3846,4013,1599,4094,7745,6720,385
9115,3849,4013,1602,4094,-1535,-3584,6017
9128,3849,4011,1604,4094,-6527,-4480,-8191
9143,3842,4008,1597,4094,2049,-1600,-5183
9157,3848,4012,1597,4094,6208,-1152,3521
9171,3849,4011,1599,4094,4673,3521,-1728
9185,3848,4016,1599,4094,6656,-6719,-2880
9199,3849,4012,1600,4094,256,3329,-4288
9213,3845,4015,1600,4095,2624,-6399,-5184
9227,3842,4009,1599,4094,-3840,961,0
9241,3846,4018,1598,4094,-7296,-1920,-2560
9256,3846,4011,1599,4094,1921,1280,-3840
9270,3845,4012,1598,4094,-4992,-1152,4480
9284,3843,4016,1598,4094,4864,2113,-5952
9298,3847,4012,1600,4094,128,7233,7232
9312,3837,4006,1595,4094,-8064,-6592,3712
9327,3846,4011,1599,4094,7617,-4416,6400
9341,3849,4012,1600,4094,-2688,384,-128
9355,3844,4011,1598,4094,7169,1152,3969
9369,3848,4016,1601,4094,0,1152,3777
9383,3844,4011,1600,4094,897,192,-2240
9397,3841,4011,1597,4094,-5311,-1984,-1280
9411,3846,4011,1602,4094,-4992,6656,-2624
9425,3844,4013,1597,4094,-5632,-6656,5696
9439,3845,4011,1600,4094,3904,-2496,5312
9453,3847,4013,1599,4094,7104,2625,5248
9468,3844,4010,1598,4094,-128,705,-2304
9481,3841,4009,1600,4094,897,-2112,3136
9495,3844,4012,1603,4094,-576,-3200,2305
9509,3841,4012,1595,4094,-5696,-5184,3585
9524,3845,4012,1600,4094,0,-3712,-832
9538,3848,4011,1602,4094,-7872,-5248,-4416
9552,3843,4011,1600,4094,2496,-7423,-128
9567,3836,4007,1595,4094,-4864,-63,-4352
9581,3844,4010,1600,4094,4736,6209,-1344
9595,3842,4011,1597,4094,-6656,7040,-4608
9609,3846,4013,1600,4094,-1792,3136,4033
9623,3844,4011,1600,4094,-192,-4096,6977
9637,3849,4015,1600,4094,7168,1665,-2432
9651,3842,4009,1596,4094,3713,6656,4672
9665,3846,4015,1600,4094,-5760,-4480,3520
9679,3846,4012,1601,4094,-5376,1664,1535
9693,3840,4012,1599,4095,7807,-2624,6654
9707,3844,4011,1602,4094,-4225,3521,-7234
9721,3848,4009,1598,4094,6719,3649,-7617
9736,3839,4009,1600,4094,-128,-3711,-7040
9750,3832,4006,2573,4094,-512,6657,-1536
9764,3781,3957,2724,4094,-4991,-7040,-960
9777,3832,4000,2719,4094,2817,3072,-5631
9791,3839,4004,2679,4094,7169,-6464,6145
9804,3837,4003,2700,4094,4737,-5952,5057
9817,3832,4005,2424,4094,-4288,3457,2112
9831,3842,4004,2605,4094,6400,-703,-640
9845,3775,3953,2772,4094,1600,-1216,7232
9858,3835,4003,2690,4094,129,6720,-3456
9872,3841,4003,2606,4094,1089,2048,6401
9885,3841,4003,2708,4094,1473,-7936,7489
9898,3834,4002,2685,4093,2689,1600,4161
9912,3837,4004,2606,4094,2753,-128,5569
9925,3788,3990,2709,4094,5121,-704,-4223
9939,3837,4008,2614,4094,384,6785,3072
9952,3797,3983,2653,4094,-4992,7489,-7936
9966,3802,3990,2685,4094,5888,-3199,640
9979,3838,4004,2654,4094,3520,-256,641
9993,3774,3947,2789,4094,3073,4416,-6911
10006,3837,4004,2637,4094,-6847,-4480,4865
10020,3833,4011,2540,4094,193,-4800,1217
10033,3843,4010,2661,4094,1793,5056,7680
10047,3834,4002,2682,4094,-3072,6145,2624
10060,3837,4003,2612,4094,7296,4417,7295
10074,3836,4003,2506,4094,-6272,3010,-961
10087,3787,3976,2754,4094,-3264,-4351,-7680
10101,3793,3977,2751,4094,-7296,-6272,-832
10114,3835,4003,2671,4094,-4927,-2496,-7999
10128,3838,4004,2528,4094,-1727,-2368,-7551
10141,3836,4002,2697,4093,-5823,-192,-1471
10155,3779,3960,2685,4094,7681,-2496,-6463
10169,3845,4011,1615,4094,4291,6720,-767
